store,lat,long,gpsens,trsens,traffic,sales,gp,avgprice,yoysales,yoyq,yoygp,yoyavgp,yoygc
ADELAIDE MYER CENTRE,-34.92395,138.5994,right,sensitive,424,5190.825144,3920.136396,3.2685,-0.0695,0.08713782,-0.0836,-0.144,-0.31309329
AIRLIE BEACH,-20.269076,148.718873,low,not sensitive,1065,9782.910964,7207.268376,3.12,-0.0539,0.105837321,-0.0951,-0.1444,-0.130944564
AIRPORT WEST,-37.715273,144.889075,right,sensitive,760,8309.459664,6199.719172,3.4146,-0.0764,0.078334628,-0.0954,-0.1435,-0.153219138
AITKENVALE,-19.300784,146.761932,right,sensitive,1807,18499.55595,13789.40644,3.4387,-0.0151,0.097801723,-0.0379,-0.1028,-0.120020243
ALBANY CREEK,-27.3455,152.964992,right,not sensitive,1787,17308.9203,12862.19298,3.4985,0.0011,0.073871696,-0.0209,-0.0678,-0.029427142
ALBANY,-35.021917,117.881059,right,not sensitive,1547,18337.16515,13908.79602,4.1128,0.0372,0.068294028,0.0211,-0.0292,-0.010451118
ALBION PARK RAIL,-34.567229,150.802977,high,sensitive,3954,37022.39122,27530.25776,3.576,0.0273,0.128982845,0.0057,-0.0901,-0.07654777
ALBION,-27.432486,153.043238,low,not sensitive,2017,19955.88074,14915.10155,3.6472,0.0061,0.104958678,-0.0218,-0.0895,-0.067036114
ALBURY,-36.084177,146.91288,right,sensitive,1661,16356.79482,12137.21494,3.6148,-0.0149,0.092968347,-0.0472,-0.0987,-0.051741092
ALDINGA,-35.278675,138.461293,high,sensitive,1116,11324.8747,8302.496296,3.2705,0.0957,0.251556787,0.0721,-0.1245,0.094141859
ALICE SPRINGS NT,-23.697367,133.878894,high,sensitive,2187,22867.65606,17325.91764,4.0218,-0.1152,-0.051809951,-0.1384,-0.0668,-0.164542376
ALTONA,-37.83281,144.847322,high,sensitive,2360,21318.86377,15893.62449,3.6297,0.0422,0.07294485,0.028,-0.0287,0.027843019
ANNERLEY,-27.504842,153.03393,high,sensitive,1442,13869.84293,10358.16345,3.6157,0.0503,0.119164635,0.0285,-0.0615,0.041218464
APPLECROSS,-32.013473,115.846082,right,sensitive,1464,15778.19477,11760.58996,3.7212,-0.0305,0.053869821,-0.0476,-0.0801,-0.117598732
ARANA HILLS,-27.40424,152.962098,right,not sensitive,1243,11727.84614,8724.629328,3.5452,0.0309,0.106544901,0.0092,-0.0683,0.121328067
ARARAT,-37.283949,142.928275,insufficient,sensitive,1622,16143.63691,12172.08174,3.6481,0.0654,0.178765064,0.0442,-0.0961,-0.012788219
ARMADALE,-32.15139,116.017544,right,not sensitive,2538,26628.37845,19923.0254,3.9798,0.0643,0.132331571,0.043,-0.06,0.002236558
ARMIDALE,-30.518479,151.666841,high,sensitive,2043,19464.43866,14367.36753,3.5928,0.0527,0.133246483,0.0306,-0.0711,-0.021044146
ARNDALE,-34.876369,138.548249,right,sensitive,335,4097.345404,3013.583372,2.8139,-0.0883,0.052713042,-0.1156,-0.1339,-0.36561377
ARNDELL PARK,-33.793264,150.897388,low,not sensitive,1864,19739.12502,14622.00231,3.7453,0.0168,0.145858303,-0.0012,-0.1127,-0.089561945
ASCOT,-31.93633,115.935435,high,sensitive,1337,13009.05265,9718.1937,3.7297,0.0408,0.134614002,0.0168,-0.0826,-0.016042781
ASCOTTERS,-31.942739,115.925372,high,sensitive,1214,11575.26092,8675.262312,3.7627,0.2064,0.349908546,0.1835,-0.1063,0.16560152
ASHMORE,-27.984432,153.366396,right,not sensitive,1770,17917.12285,13292.2635,3.4641,0.0221,0.14419898,-0.0042,-0.1067,-0.058786396
ASPLEY,-27.363327,153.016826,right,not sensitive,2207,22517.85144,16788.99395,3.4637,0.0089,0.125634163,-0.0187,-0.1037,-0.052579893
ATHERTON,-17.267586,145.474524,right,sensitive,1114,12676.58485,9483.500388,3.3834,0.0703,0.249092574,0.0409,-0.1431,-0.045284197
AUBURN,-33.846675,151.040669,right,sensitive,3218,32563.50582,24081.97566,3.6568,-0.022,0.149516219,-0.0415,-0.1493,-0.125873529
AUSTRALIA FAIR,-27.968127,153.415977,high,sensitive,892,8500.393064,6264.875764,3.0219,-0.0365,0.035412443,-0.0565,-0.0695,-0.051924287
AVONDALE HEIGHTS,-37.768012,144.862218,high,sensitive,1454,12745.0375,9450.213428,3.5133,0.0948,0.110842027,0.0787,-0.0144,0.120134535
AYR,-19.581796,147.400891,right,sensitive,1303,13670.63463,10234.41001,3.3535,0.0604,0.19809396,0.0357,-0.1149,0.005708063
BACCHUS MARSH,-37.67572,144.434096,high,sensitive,1883,17389.1038,12812.44246,3.5037,0.0663,0.111750102,0.0469,-0.0409,0.100658308
BAIRNSDALE,-37.82525,147.623164,right,not sensitive,2930,27905.69729,20716.7118,3.5965,0.0691,0.145367044,0.0455,-0.0666,-0.014062019
BALDIVIS,-32.333783,115.814602,high,sensitive,2080,21908.70073,16428.24766,4.0241,0.2313,0.301554657,0.2144,-0.054,0.180422365
BALLAJURA,-31.848908,115.878613,low,not sensitive,2275,23865.56741,17973.14549,3.9112,-0.1289,-0.026647114,-0.1464,-0.105,-0.203206861
BALLAN WESTBOUND,-37.606548,144.281179,high,sensitive,1298,11031.33066,8182.62804,3.7352,0.0031,0.017989104,-0.0144,-0.0147,-0.08572034
BALLARAT BAKERY HILL,-37.564003,143.864442,high,sensitive,2129,19389.56824,14404.29547,3.6331,-0.0098,0.038618419,-0.0297,-0.0466,0.021801938
BALLARAT STURT STREET,-37.562569,143.84675,right,sensitive,2114,19608.25806,14606.48432,3.5916,-0.0563,-0.026004141,-0.0726,-0.0311,-0.08782466
BALLINA CENTRAL,-28.857506,153.561036,high,sensitive,2160,21360.92543,15924.70913,3.5325,-0.0553,0.033782164,-0.0774,-0.0862,-0.122897184
BALWYN,-37.815167,145.083353,low,not sensitive,1516,14191.10193,10480.31534,3.5478,0.059,0.094646122,0.0489,-0.0326,-0.014371189
BANKSTOWN CENTRO F/C II,-33.917202,151.038544,right,sensitive,679,7912.2851,5787.204472,3.2172,-0.0056,0.079359268,-0.0281,-0.0787,-0.193911115
BANKSTOWN CENTRO L2,-33.917258,151.036778,right,not sensitive,538,6339.79124,4677.133468,2.6565,-0.0234,0.049084183,-0.0357,-0.0691,-0.200161929
BANKSTOWN,-33.916058,151.037366,right,sensitive,2495,25704.51188,18934.49007,3.5923,0.0246,0.20607572,0.0049,-0.1505,-0.085960202
BARGARA,-24.818367,152.457361,high,sensitive,865,8309.443588,6122.174212,3.2017,0.1431,0.347307107,0.1012,-0.1516,0.1011512
BASS HILL,-33.902021,150.997458,high,sensitive,2361,21973.34626,16246.06511,3.7024,0.1019,0.190299636,0.0841,-0.0743,0.05911174
BASS,-38.472204,145.474799,high,sensitive,1784,16872.48261,12592.35823,3.7235,0.0531,0.114395077,0.0387,-0.055,-0.022407041
BATEAU BAY,-33.373593,151.474282,right,sensitive,2523,24912.80231,18623.43076,3.5139,0.0979,0.158965517,0.0841,-0.0527,0.019381634
BATEMANS BAY,-35.710279,150.173663,high,sensitive,2678,25431.97255,18948.28211,3.7221,0.0216,0.088369631,-0.0029,-0.0613,-0.03997599
BATHURST,-33.414828,149.583159,low,sensitive,2841,28135.63012,20953.26672,3.6121,0.0071,0.129380102,-0.014,-0.1082,-0.106616852
BAYSWATER NORTH,-37.832821,145.268659,right,sensitive,1983,16307.34894,12142.39352,3.5866,-0.0177,0.063358521,-0.0362,-0.0762,-0.093694223
BEACON HILL,-33.755581,151.259554,high,sensitive,1795,16975.13196,12537.95406,3.4756,0.0423,0.116822523,0.0249,-0.0667,-0.027178547
BEAUDESERT,-27.982611,152.994739,high,insufficient,1346,13077.22832,9738.37792,3.4141,0.0846,0.164302369,0.061,-0.0685,0.029746761
BEECHBORO,-31.869748,115.945378,right,sensitive,1580,16094.16797,12051.94659,3.8657,0.0151,0.133188032,-0.0061,-0.1042,-0.053082241
BEELIAR,-32.127761,115.796961,high,sensitive,1729,17553.11816,13186.61324,3.8242,0.2088,0.285667399,0.2014,-0.0598,0.129701152
BEENLEIGH,-27.716078,153.198072,right,not sensitive,2236,22882.09012,16844.48002,3.3243,-0.0178,0.152708377,-0.0493,-0.148,-0.02310156
BELCONNEN ACT,-35.239928,149.075105,right,sensitive,1843,16784.35199,12400.82482,3.6234,-0.0509,0.08245576,-0.0754,-0.1232,-0.086822129
BELCONNEN FOOD COURT ACT,-35.237942,149.065914,right,sensitive,644,7444.736852,5512.394872,3.3507,-0.083,0.042243478,-0.1082,-0.1202,-0.163140093
BELDON,-31.771219,115.766656,right,sensitive,1669,16940.9159,12699.31793,3.7834,-0.0351,0.086940902,-0.06,-0.1123,-0.151676012
BELLBIRD PARK,-27.644935,152.872434,high,sensitive,1743,18669.49529,13547.03632,3.5637,0.0709,0.202105115,0.0427,-0.1092,-0.047478778
BELLBOWRIE,-27.563778,152.886798,high,sensitive,755,7768.33648,5785.332452,3.4962,0.0076,0.06353857,-0.0154,-0.0526,-0.010734325
BELMONT,-33.034596,151.661349,high,sensitive,1619,14978.74529,11107.44167,3.388,0.0294,0.128418471,0.0054,-0.0877,-0.012002228
BELMONT,-31.965372,115.936737,high,sensitive,1585,16121.23374,11999.44816,3.6585,0.0131,0.170600858,-0.0117,-0.1346,-0.075842697
BENALLA,-36.552024,145.986836,right,sensitive,1279,11690.44129,8661.06754,3.58,-0.0457,-0.043718693,-0.0628,-0.0021,0.033284446
BENDIGO,-36.762976,144.275895,right,sensitive,2676,26053.73695,19321.03277,3.7261,-0.0118,0.101437617,-0.0338,-0.1029,-0.105518229
BERWICK SOUTH,-38.057363,145.336999,low,not sensitive,2156,19343.50036,14334.61412,3.613,0.0311,0.115434216,0.0077,-0.0756,-0.028006385
BERWICK,-38.040683,145.341639,low,not sensitive,1849,16734.85421,12406.09156,3.5794,0.0136,0.083067196,-0.0089,-0.0641,-0.02324446
BEXLEY,-33.952634,151.12204,high,sensitive,1622,14400.18546,10579.50134,3.4511,0.0905,0.222785904,0.0676,-0.1082,-0.001252236
BICTON,-32.035653,115.785725,high,sensitive,1558,16196.88195,12256.70259,3.786,0.0252,0.124593131,0.0115,-0.0884,-0.043610398
BLACKBURN,-37.833212,145.147423,high,sensitive,1022,9072.524572,6704.602096,3.4999,0.0755,0.161039363,0.0576,-0.0737,0.039057629
BLACKTOWN FOOD COURT II,-33.770163,150.907271,right,not sensitive,798,9413.099016,6920.595808,3.2819,-0.1172,-0.12229498,-0.1302,0.0058,-0.288608324
BLACKTOWN II,-33.766404,150.91203,insufficient,sensitive,1607,15976.66529,11903.3594,3.5924,0.0666,0.164139203,0.0451,-0.0838,-0.030031912
BLACKTOWN MEGA CENTRE,-33.780604,150.919926,right,sensitive,1855,18525.89512,13702.22047,3.5749,0.0526,0.172031422,0.0342,-0.1019,0.019835805
BLACKTOWN RWAY CONC,-33.768591,150.907196,right,not sensitive,705,6531.451396,4784.455668,2.7761,-0.0395,-0.009399504,-0.0656,-0.0304,-0.158220228
BLACKWATER,-23.584766,148.88372,low,sensitive,819,9102.439736,6883.433596,3.8547,-0.0722,0.004629201,-0.0906,-0.0765,-0.074247522
BLAXLAND,-33.746002,150.61369,high,insufficient,3082,30350.42374,22747.44581,3.8387,0.0233,0.07466079,0.0053,-0.0478,-0.088520905
BOMADERRY,-34.842655,150.592416,right,sensitive,2504,23936.58684,17754.45847,3.5272,0.0513,0.147662107,0.0265,-0.0839,-0.051345602
BONDI BEACH,-33.89014,151.274989,right,insufficient,1574,15655.33243,11678.26817,3.5119,0.0061,0.134337497,-0.0162,-0.113,-0.11860592
BONDI JUNCTION INTERCHANGE,-33.891506,151.246971,right,sensitive,578,5665.556624,4201.174996,2.9414,0.035,0.047225502,0.027,-0.0117,-0.097585087
BONDI JUNCTION WESTFIELD,-33.892644,151.250563,right,sensitive,563,5756.051528,4263.464088,3.261,-0.0067,0.129768523,-0.0347,-0.1208,-0.21998094
BONNYRIGG HEIGHTS,-33.895969,150.856031,right,sensitive,803,8429.372496,6185.236828,3.419,0.0399,0.194626487,0.0233,-0.1295,-0.114615817
BONNYRIGG,-33.889861,150.880158,high,sensitive,2021,20543.34481,15183.41136,3.5259,0.0536,0.249732961,0.0316,-0.157,-0.08456793
BOORAGOON,-32.037684,115.836531,right,sensitive,497,6344.060088,4669.154764,3.2291,-0.0067,0.187502077,-0.0395,-0.1636,-0.133404482
BOOVAL,-27.612549,152.796702,right,not sensitive,2240,23677.84928,17315.81719,3.3283,-0.0035,0.133155679,-0.0377,-0.1206,-0.099906121
BORONIA,-37.861356,145.284948,low,not sensitive,2005,17841.59164,13232.78183,3.5738,-0.0343,0.01818775,-0.0471,-0.0516,-0.074013577
BOURKE ST WEST,-37.814415,144.961686,low,not sensitive,1048,9550.165608,7098.26494,3.5994,-0.0094,0.171294753,-0.0305,-0.1543,-0.189059707
BOURKE STREET MALL,-37.813732,144.964634,low,not sensitive,626,6345.817096,4771.654944,3.7599,0.0292,0.105937864,0.0074,-0.0694,-0.06505434
BOWEN,-20.000766,148.237397,right,sensitive,952,9874.583076,7238.310932,3.2471,-0.0732,0.131429303,-0.1073,-0.1808,-0.077776128
BOX HILL CENTRAL,-37.821095,145.121294,right,sensitive,734,7421.18464,5493.6818,2.9656,-0.0033,0.014897089,-0.0159,-0.0179,-0.027748023
BOX HILL NORTH,-37.810809,145.13969,right,insufficient,1333,11752.50156,8707.817596,3.5699,0.0609,0.142948928,0.0458,-0.0717,0.023394328
BOYNE ISLAND,-23.947626,151.354581,right,not sensitive,1024,10842.16842,8020.226888,3.4463,-0.0606,0.025424497,-0.0889,-0.0838,-0.131101758
BP CABOOLTURE NORTHBOUND,-27.124101,152.976229,high,not sensitive,1736,18545.24603,13774.43064,3.4199,-0.0618,0.023378565,-0.0856,-0.0832,-0.163236655
BP CABOOLTURE SOUTHBOUND,-27.123872,152.978268,low,not sensitive,1135,12421.79443,9107.182956,3.2497,-0.0257,0.079379921,-0.0643,-0.0974,-0.164672613
BP CHINDERAH,-28.244035,153.557575,low,not sensitive,2084,22300.65002,16506.31258,3.3729,-0.0069,0.174834951,-0.0409,-0.1547,-0.14992541
BP COOMERA,-27.860592,153.30852,low,not sensitive,1525,16541.94035,12185.19014,3.3387,-0.1128,0.033013257,-0.1453,-0.1411,-0.251758174
BP STAPYLTON,-27.732836,153.228354,right,not sensitive,1687,17501.52564,13073.87651,3.5594,-0.0594,0.050737313,-0.0885,-0.1048,-0.094486459
BRACKEN RIDGE,-27.331009,153.026914,right,not sensitive,1890,19792.72238,14511.84003,3.4384,-0.0714,0.028204198,-0.0955,-0.0969,-0.163731036
BRADDON ACT,-35.275652,149.130747,low,not sensitive,1674,16764.40887,12616.07588,3.7828,-0.0188,0.122675377,-0.0391,-0.126,-0.14268307
BRAESIDE,-37.973511,145.110257,right,not sensitive,1782,15794.81161,11660.38982,3.5904,-0.0414,0.01692817,-0.0543,-0.0574,-0.076693881
BRASSALL,-27.594235,152.745344,right,sensitive,1661,17976.66524,13178.88303,3.3423,0.0336,0.195685804,0.0028,-0.1356,-0.071250969
BRIBIE INTERCHANGE,-27.084946,152.978369,right,sensitive,1214,13309.18161,9866.657628,3.3434,-0.0521,0.08263278,-0.0783,-0.1245,-0.163991198
BRIBIE ISLAND,-27.068803,153.159529,right,sensitive,1099,13208.32799,9727.167252,3.1377,0.0387,0.186846663,0.0108,-0.1248,-0.091581543
BRIDGEWATER TAS,-42.73975,147.225927,low,not sensitive,1989,19503.9632,14418.35275,3.7207,0.0818,0.1426097,0.0614,-0.0532,0.048968399
BRISBANE TRANSIT CENTRE,-27.466237,153.018688,right,not sensitive,629,6670.0465,5017.683872,3.2632,-0.0961,0.006722825,-0.1167,-0.1022,-0.182897454
BROADBEACH II,-28.025583,153.429605,right,not sensitive,1904,17335.64576,12969.7739,3.4107,-0.0097,0.084056108,-0.0287,-0.0865,-0.04235838
BROADBEACH/NEICON PLAZA,-28.029028,153.432195,right,not sensitive,878,8455.086832,6326.632928,3.252,-0.0241,0.087246958,-0.0509,-0.1024,-0.058651241
BROADMEADOW II,-32.925142,151.725491,low,sensitive,2454,22763.3564,16969.35948,3.5667,-0.0438,0.060971393,-0.0658,-0.0988,-0.08134051
BROADMEADOWS,-37.679484,144.920747,right,sensitive,1677,16043.18671,12059.19287,3.5879,0.0472,0.15649486,0.0352,-0.0945,0.046883586
BROADWAY,-33.883748,151.202423,right,not sensitive,1655,14538.32372,10824.82539,3.6005,-0.1578,-0.091679955,-0.169,-0.0728,-0.260193599
BROKEN HILL,-31.964467,141.450871,right,sensitive,1846,19023.12445,14104.05064,3.4459,-0.0156,0.092880137,-0.0402,-0.0993,-0.104851014
BROOKLYN,-37.823197,144.824166,high,sensitive,989,8536.507192,6335.000388,3.7141,0.0095,0.097536735,-0.0111,-0.0802,-0.101390474
BROOKSIDE,-27.410518,152.97786,high,sensitive,1110,11360.62603,8472.625252,3.3928,-0.0199,0.075684065,-0.0448,-0.0889,-0.11132424
BROOKVALE,-33.763733,151.273847,low,not sensitive,2690,25330.07208,18733.58973,3.6585,-0.018,0.070808092,-0.0412,-0.0829,-0.136116465
BROOME,-17.966933,122.235431,high,not sensitive,1542,17173.53446,13134.74993,4.4745,-0.0622,-0.048985166,-0.0817,-0.0139,-0.141674861
BROWNS PLAINS,-27.660464,153.040641,right,sensitive,2559,26296.7845,19474.81134,3.5136,0.0131,0.114417083,-0.0124,-0.0909,-0.049101059
BRUNSWICK EAST,-37.763291,144.972358,high,sensitive,1494,12983.44796,9622.489924,3.5793,0.0082,0.082128457,-0.0077,-0.0683,-0.028163896
BRUNSWICK,-37.777299,144.959719,low,not sensitive,841,8302.236372,6281.857652,3.5316,-0.0096,0.114961027,-0.0242,-0.1117,-0.192794876
BUNBURY SOUTH,-33.361178,115.641926,low,not sensitive,2496,26392.28014,19947.16096,3.9175,0.1334,0.104655597,0.1298,0.026,0.128399045
BUNBURY,-33.339073,115.657069,low,insufficient,2373,22444.12868,17088.76043,3.9651,0.0612,0.031577968,0.0593,0.0287,0.18619258
BUNDABERG CITY,-24.867012,152.351945,high,sensitive,2466,24039.14856,17788.15516,3.3325,-0.0187,0.151088795,-0.0529,-0.1475,-0.077782945
BUNDABERG,-24.887529,152.320538,high,sensitive,1503,15054.24083,11127.00487,3.4373,-0.0263,0.164710841,-0.0584,-0.164,-0.192552225
BURLEIGH HEADS,-28.07798,153.446542,right,sensitive,2028,19195.48137,14160.13182,3.2221,0.0274,0.132590871,-0.0026,-0.0929,-0.000465997
BURLEIGH STOCKLAND,-28.097965,153.440456,right,sensitive,444,4163.99238,3055.8765,2.8973,0.0028,0.13528162,-0.0309,-0.1167,-0.11207187
BURLEIGHTERS,-28.100699,153.423306,right,sensitive,1799,16701.48358,12370.30698,3.2003,0.0871,0.209102307,0.0596,-0.1009,0.069479978
BURNIE TAS,-41.057235,145.904512,right,not sensitive,2313,22516.33012,16630.65722,3.7208,-0.0184,0.023033729,-0.0377,-0.0405,-0.047286853
BURNLEY,-37.821538,145.010305,low,not sensitive,1080,9163.99902,6863.928116,3.7003,0.0209,0.09366672,0.0059,-0.0666,0.032003939
BURPENGARY,-27.154053,152.972096,right,sensitive,1668,17731.28777,13058.4811,3.3946,0.0455,0.197002433,0.0094,-0.1266,0.003304827
BURWOOD,-37.852071,145.096725,low,not sensitive,1410,12966.74384,9708.898264,3.763,0.0294,0.14292341,0.0082,-0.0994,-0.008869805
BURWOOD WESTFIELD,-33.874848,151.10667,high,sensitive,798,10046.70965,7462.044768,3.2187,0.0718,0.246099113,0.0487,-0.1398,-0.112825222
BUSSELTON,-33.651944,115.344999,low,not sensitive,1964,21961.00261,16365.513,3.6323,-0.1879,-0.08864938,-0.2063,-0.1089,-0.228903598
BUTLER,-31.653674,115.713781,low,not sensitive,1440,15086.94816,11346.31865,4.0173,-0.1734,-0.074413141,-0.1854,-0.107,-0.224323804
CABOOLTURE CITY,-27.082467,152.951962,right,sensitive,1873,20069.51055,14829.14696,3.3055,0.0293,0.18809343,-0.0049,-0.1337,0.0471741
CABOOLTURE,-27.098913,152.948256,right,sensitive,1971,22175.97407,16349.30275,3.4087,-0.0057,0.151055369,-0.0357,-0.1362,-0.080645161
CAIRNS CENTRAL,-16.924885,145.772239,right,sensitive,598,8020.522784,6039.322032,3.2917,0.0171,0.093460525,-0.0037,-0.0699,-0.176946669
CAIRNS CITY,-16.922859,145.76692,right,not sensitive,1889,19874.89468,14858.84962,3.4067,0.0906,0.304479413,0.0607,-0.1639,-0.044130141
CAIRNS ESPLANADE,-16.920481,145.777499,right,not sensitive,988,11353.52848,8483.132428,3.2277,0.0447,0.150281756,0.017,-0.0918,-0.100528573
CAIRNS STOCKLAND,-16.944196,145.739795,right,not sensitive,364,5458.32446,4104.18868,3.0197,0.0252,0.292259084,-0.0053,-0.2067,-0.171290712
CAIRNS WOREE,-16.9625,145.746088,right,sensitive,1562,17120.16029,12783.65072,3.3441,-0.0282,0.098069331,-0.0502,-0.115,-0.121823393
CALAMVALE,-27.612073,153.054597,right,sensitive,2349,24360.39475,18082.85954,3.6334,0.0283,0.117178681,0.0056,-0.0796,-0.034481404
CALDER HIGHWAY,-37.666996,144.753004,insufficient,not sensitive,1502,11894.48972,9038.916444,3.6031,0.1071,0.152727273,0.0866,-0.0396,0.042357214
CALDER NORTHBOUND,-37.666434,144.746493,insufficient,not sensitive,2016,17121.14457,12871.61823,3.663,0.0528,0.104521522,0.0324,-0.0468,-0.032183616
CALDERMEADE,-38.245045,145.537195,high,sensitive,1727,16647.90524,12474.45442,3.7447,0.0681,0.153796095,0.0423,-0.0743,-0.063934477
CALLIOPE TRAVEL CENTRE,-23.986115,151.211855,high,sensitive,1019,10172.12558,7563.618252,3.799,0.3306,0.450268222,0.295,-0.0825,0.211402208
CALOUNDRA,-26.803446,153.121429,high,sensitive,2186,21355.63461,15899.95601,3.283,0.008,0.117897851,-0.0189,-0.0983,0.083227094
CAMBRIDGE GARDENS,-33.742184,150.715435,high,sensitive,1995,19231.00251,14218.23186,3.6346,0.0638,0.22541206,0.0418,-0.1319,0.048512597
CAMDEN II,-34.053005,150.698881,right,sensitive,1752,16951.666,12671.31509,3.4909,0.0747,0.182092887,0.0536,-0.0908,-0.010585779
CAMDEN PARK,-34.976517,138.536346,high,sensitive,1726,17273.52898,12789.08631,3.5262,0.035,0.190084327,0.0056,-0.1303,-0.083717847
CAMPBELLFIELD,-37.675491,144.955038,high,sensitive,1396,12608.27572,9453.382756,3.6144,0.0475,0.191617292,0.024,-0.1209,-0.019529837
CAMPBELLTOWN MALL II,-34.069365,150.810888,high,sensitive,566,6736.21958,4911.229708,3.0206,0.0362,0.210552363,0.0043,-0.144,-0.104636703
CAMPBELLTOWN,-34.071297,150.81055,right,sensitive,2603,26356.31599,19575.63554,3.4451,0.0608,0.240980214,0.0402,-0.1452,-0.03564222
CAMPSIE CENTRE,-33.913138,151.103336,high,sensitive,423,4809.892704,3530.985832,2.8819,0.0635,0.207162342,0.0416,-0.119,-0.124985938
CANBERRA CENTRE II ACT,-35.280818,149.132809,high,sensitive,452,5230.106996,3974.829952,3.5301,-0.0227,0.120731007,-0.0288,-0.128,-0.094675175
CANBERRA CITY ACT,-35.280094,149.133881,low,not sensitive,732,7663.35844,5801.894464,3.3782,-0.03,0.028028565,-0.0491,-0.0565,-0.1760669
CANNING VALE,-32.087555,115.917543,right,sensitive,2194,22680.42509,16935.782,3.7888,0.0191,0.114263274,-0.0002,-0.0854,-0.032444887
CANNINGTON,-32.019272,115.935623,right,sensitive,1929,21238.2294,15860.36984,3.7788,-0.0033,0.113090856,-0.0229,-0.1046,-0.13368984
CANNON HILL II,-27.468846,153.093929,high,sensitive,2194,21636.71041,16115.88238,3.5884,0.0618,0.157095069,0.0309,-0.0824,-0.011123401
CANNONVALE,-20.289101,148.677123,high,sensitive,1305,11791.41416,8739.553812,3.4889,-0.0076,0.1397957,-0.0387,-0.1293,0.056349206
CAPALABA PARK,-27.524536,153.191179,right,sensitive,364,4310.658864,3197.758004,3.0204,0.0041,0.194402256,-0.0342,-0.1593,-0.135832901
CAPALABA,-27.521774,153.198531,high,sensitive,2539,24950.90089,18613.36758,3.5281,0.0155,0.163682042,-0.0115,-0.1273,-0.056453654
CARINA HEIGHTS,-27.517825,153.096808,right,sensitive,1607,16385.00739,12254.68152,3.4697,0.0313,0.171996876,0.0038,-0.1201,-0.03732815
CARINDALE,-27.50432,153.101644,right,sensitive,734,8369.658896,6240.52184,3.1302,-0.0381,0.058215901,-0.0639,-0.091,-0.141389399
CARINGBAH,-34.042591,151.120468,right,not sensitive,1827,16952.27643,12609.60866,3.5268,0.0255,0.071110885,0.0093,-0.0426,-0.041265546
CARLINGFORD FOOD COURT,-33.778717,151.050934,high,sensitive,649,7012.838572,5149.62486,3.0826,0.0609,0.161460672,0.037,-0.0866,-0.176975285
CARNES HILL,-33.937766,150.842378,low,not sensitive,1426,13766.3899,10211.07972,3.5454,0.0154,0.126871705,-0.0011,-0.0989,-0.000859134
CAROLINE SPRINGS,-37.732511,144.739378,right,sensitive,1697,15746.55299,11754.84514,3.7463,0.0882,0.224051202,0.0713,-0.111,0.042756512
CAROUSEL,-32.020948,115.93742,right,sensitive,784,9245.67152,6786.354876,3.4048,-0.0016,0.120875203,-0.0222,-0.1093,-0.133623207
CARTWRIGHT,-33.927827,150.887891,right,sensitive,1952,19365.40304,14457.8737,3.5833,0.0514,0.186593252,0.0304,-0.1139,-0.019384111
CASINO,-28.862803,153.045182,right,sensitive,1826,19134.95499,13972.11907,3.2487,0.0275,0.15747855,-0.0044,-0.1124,-0.058395785
CASTLE HILL,-33.7335,151.002753,insufficient,sensitive,2181,21722.57756,16110.86627,3.6995,0.0975,0.178298038,0.0836,-0.0686,0.021752175
CASTLE TOWERS,-33.731337,151.004995,low,not sensitive,946,11733.2144,8641.541928,3.0651,0.0101,0.029800911,-0.0013,-0.0192,-0.176117526
CASTLETOWN,-19.271848,146.790955,high,sensitive,331,4346.520464,3241.202312,3.2396,0.0292,0.23886474,0.0054,-0.1692,-0.144051351
CASUARINA NT,-12.376096,130.880234,right,not sensitive,1546,17456.75622,13293.0239,4.0002,-0.1132,-0.10505801,-0.1267,-0.0091,-0.165477815
CASULA II,-33.940044,150.912267,high,sensitive,1678,15836.54703,11738.12802,3.4814,0.0953,0.229596489,0.0807,-0.1092,0.044990781
CAVILL III,-28.002089,153.430922,low,not sensitive,2653,25769.60312,19229.6718,3.1718,-0.1024,-0.012923629,-0.1264,-0.0906,-0.104775514
CENTRAL STATION,-27.466222,153.025484,right,not sensitive,1447,15746.67401,11693.33608,2.9655,-0.0915,0.065536474,-0.1226,-0.1474,-0.250029426
CESSNOCK,-32.833916,151.352973,right,sensitive,2816,27730.4008,20508.30673,3.3112,-0.0365,0.093763511,-0.0624,-0.1191,-0.07980088
CHADSTONE SHOPPING CENTRE,-37.886456,145.083343,low,not sensitive,687,7057.908984,5267.154292,3.0066,-0.2211,-0.203907069,-0.2341,-0.0216,-0.275054335
CHADSTONE,-37.886901,145.078635,right,not sensitive,1196,10956.35256,8163.874812,3.608,-0.029,0.030893862,-0.0434,-0.0581,-0.059978035
CHAPEL STREET,-37.845882,144.994567,high,sensitive,437,4117.728996,3034.694716,3.1795,-0.0256,0.148482139,-0.0514,-0.1515,-0.170538754
CHARLESTOWN,-32.964594,151.695939,high,sensitive,1948,19056.4679,14251.85712,3.5671,0.1015,0.216549209,0.0805,-0.0946,0.057132878
CHARLESTOWN SQUARE II,-32.963842,151.694437,right,sensitive,902,11341.47289,8368.010984,3.1986,0.0257,0.258844301,-0.0103,-0.1852,-0.145774172
CHARNWOOD ACT,-35.205843,149.034241,high,sensitive,1344,12697.59229,9457.34442,3.5868,0.048,0.164938085,0.0266,-0.1003,0.027716823
